entity_id,entity_type,stage_name_en,stage_name_ar,is_executable,is_runtime_operation,is_ordered_step,is_state,is_verdict,is_policy,is_registry,is_lge_stage,is_traceable,coverage_required,coverage_scope,source_file,source_symbol,pr_binding,outputs,failure_codes,notes_ar
GAMMA_STEP_2,ORDERED_DECISION_STEP,Γ Step 2 — Trace Reference,خطوة Γ 2 — مرجع التتبع,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,GAMMA_BRANCH_COVERAGE,core/gamma.py,gamma,PR-2,GammaResult,TRACE_MISSING,التحقق من وجود TraceRef في المركز — الإخفاق يُعيد INVALID
GAMMA_STEP_3,ORDERED_DECISION_STEP,Γ Step 3 — Domain/Scope/Boundary,خطوة Γ 3 — المجال والنطاق والحدّ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,GAMMA_BRANCH_COVERAGE,core/gamma.py,gamma,PR-2,GammaResult,DOMAIN_MISSING / SCOPE_MISSING / BOUNDARY_MISSING,التحقق من اكتمال هوية الرسم البياني — الإخفاق يُعيد INVALID
GAMMA_STEP_4,ORDERED_DECISION_STEP,Γ Step 4 — No BROKEN slots,خطوة Γ 4 — لا خانات مكسورة,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,GAMMA_BRANCH_COVERAGE,core/gamma.py,gamma,PR-2,GammaResult,IDENTITY_BROKEN,أي خانة BROKEN تُسبب الرفض الفوري بـ INVALID
GAMMA_STEP_5,ORDERED_DECISION_STEP,Γ Step 5 — Output boundary layer,خطوة Γ 5 — حدّ طبقة الإخراج,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,GAMMA_BRANCH_COVERAGE,core/gamma.py,gamma,PR-2,GammaResult,OUTPUT_EXCEEDS_LAYER,الإخراج يجب أن يبقى ضمن الطبقة المُعلنة — الإخفاق يُعيد FORBIDDEN_LEAP
GAMMA_STEP_6,ORDERED_DECISION_STEP,Γ Step 6 — No hidden residual,خطوة Γ 6 — لا بقايا مخفية,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,GAMMA_BRANCH_COVERAGE,core/gamma.py,gamma,PR-3,GammaResult,HIDDEN_RESIDUAL,أي بقية غير مرئية أو HIDDEN_FORBIDDEN تُوجب INVALID
GAMMA_STEP_7,ORDERED_DECISION_STEP,Γ Step 7 — No blocking residual,خطوة Γ 7 — لا بقايا مانعة,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,GAMMA_BRANCH_COVERAGE,core/gamma.py,gamma,PR-3,GammaResult,BLOCKING_RESIDUAL_PRESENT,أي بقية BLOCKING تُوجب BLOCKED — الفرع غير مُشهَد في المتن الحالي
GAMMA_STEP_8,ORDERED_DECISION_STEP,Γ Step 8 — Required slots filled,خطوة Γ 8 — الخانات المطلوبة مملوءة,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,GAMMA_BRANCH_COVERAGE,core/gamma.py,gamma,PR-2,GammaResult,REQUIRED_SLOT_EMPTY,كل خانة مطلوبة يجب أن تكون FILLED — الإخفاق يُعيد OPEN (7 رموز في المتن)
GAMMA_STEP_9,ORDERED_DECISION_STEP,Γ Step 9 — Rank ceiling,خطوة Γ 9 — سقف الرتبة,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,GAMMA_BRANCH_COVERAGE,core/gamma.py,gamma,PR-3,GammaResult,RANK_EXCEEDS_CEILING,الرتبة ≤ ResidualCeiling — الإخفاق يُعيد FORBIDDEN_LEAP
GAMMA_STEP_10,ORDERED_DECISION_STEP,Γ Step 10 — Closure verdict,خطوة Γ 10 — حكم الإغلاق,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,GAMMA_BRANCH_COVERAGE,core/gamma.py,gamma,PR-2 / PR-3,GammaResult,,يُعيد MINIMALLY_CLOSED أو PERFORATED_CLOSED — كلاهما مُشهَد في المتن
CLOSURE_OPEN,VERDICT_ENUM,ClosureState.OPEN,حالة الإغلاق: مفتوح,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,VERDICT_WITNESS,core/closure_state.py,ClosureState.OPEN,PR-1A,,,مُشهَد: 7 رموز — الشروط لم تكتمل
CLOSURE_MIN_CLOSED,VERDICT_ENUM,ClosureState.MINIMALLY_CLOSED,حالة الإغلاق: مغلق أدنى,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,VERDICT_WITNESS,core/closure_state.py,ClosureState.MINIMALLY_CLOSED,PR-1A,,,مُشهَد: 50 رمزًا — الإغلاق الكامل بلا بقايا
CLOSURE_PERF_CLOSED,VERDICT_ENUM,ClosureState.PERFORATED_CLOSED,حالة الإغلاق: مغلق مُثقَّب,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,VERDICT_WITNESS,core/closure_state.py,ClosureState.PERFORATED_CLOSED,PR-1A,,,مُشهَد: 71 رمزًا — مغلق مع بقايا مرئية غير مانعة
CLOSURE_BLOCKED,VERDICT_ENUM,ClosureState.BLOCKED,حالة الإغلاق: مانع,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,VERDICT_WITNESS,core/closure_state.py,ClosureState.BLOCKED,PR-1A,,,غير مُشهَد في المتن الحالي — يتطلب بقية BLOCKING مرئية
CLOSURE_INVALID,VERDICT_ENUM,ClosureState.INVALID,حالة الإغلاق: غير صالح,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,VERDICT_WITNESS,core/closure_state.py,ClosureState.INVALID,PR-1A,,,غير مُشهَد في المتن الحالي — يتطلب بقية مخفية
CLOSURE_FORBIDDEN_LEAP,VERDICT_ENUM,ClosureState.FORBIDDEN_LEAP,حالة الإغلاق: قفزة محظورة,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,VERDICT_WITNESS,core/closure_state.py,ClosureState.FORBIDDEN_LEAP,PR-1A,,,غير مُشهَد في المتن الحالي — يتطلب تجاوز الطبقة
TRANSITION_APPROVED,VERDICT_ENUM,TransitionState.APPROVED,حكم الانتقال: مُوافَق,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,VERDICT_WITNESS,core/transition_state.py,TransitionState.APPROVED,PR-4,TransitionVerdict,,مُشهَد: 73 رمزًا
TRANSITION_DEFERRED,VERDICT_ENUM,TransitionState.DEFERRED,حكم الانتقال: مؤجَّل,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,VERDICT_WITNESS,core/transition_state.py,TransitionState.DEFERRED,PR-4,TransitionVerdict,GATE_REQUIRED,مُشهَد: 55 رمزًا (7 من OPEN gamma + 48 من غياب الدليل)
TRANSITION_BLOCKED,VERDICT_ENUM,TransitionState.BLOCKED,حكم الانتقال: مانع,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,VERDICT_WITNESS,core/transition_state.py,TransitionState.BLOCKED,PR-4,TransitionVerdict,BLOCKING_RESIDUAL_PRESENT,غير مُشهَد في المتن الحالي
TRANSITION_REJECTED,VERDICT_ENUM,TransitionState.REJECTED,حكم الانتقال: مرفوض,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,VERDICT_WITNESS,core/transition_state.py,TransitionState.REJECTED,PR-4,TransitionVerdict,RANK_PROMOTION_WITHOUT_GATE / IDENTITY_BROKEN,غير مُشهَد في المتن الحالي
TRANSITION_FORBIDDEN_LEAP,VERDICT_ENUM,TransitionState.FORBIDDEN_LEAP,حكم الانتقال: قفزة محظورة,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,VERDICT_WITNESS,core/transition_state.py,TransitionState.FORBIDDEN_LEAP,PR-4,TransitionVerdict,FORBIDDEN_STRAIGHT_LINE,غير مُشهَد في المتن الحالي
RANK_ZERO,RANK_LEVEL,Rank.ZERO,رتبة: صفر,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,RANK_WITNESS,core/rank_lattice.py,Rank.ZERO,PR-1A / PR-3,,,قاع الشبكة — لا دليل
RANK_TRACE,RANK_LEVEL,Rank.TRACE,رتبة: أثر,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,RANK_WITNESS,core/rank_lattice.py,Rank.TRACE,PR-1A / PR-3,,,إشارة أولية فقط
RANK_CANDIDATE,RANK_LEVEL,Rank.CANDIDATE,رتبة: مرشح,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,RANK_WITNESS,core/rank_lattice.py,Rank.CANDIDATE,PR-1A / PR-3,,,احتمالي — سقف LGE C1–C5
RANK_HYPOTHESIS,RANK_LEVEL,Rank.HYPOTHESIS,رتبة: فرضية,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,RANK_WITNESS,core/rank_lattice.py,Rank.HYPOTHESIS,PR-1A / PR-3,,,UNGATED_RANK_CEILING — الحد الأقصى بدون بوابة
RANK_LICENSED,RANK_LEVEL,Rank.LICENSED,رتبة: مُرخَّص,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,RANK_WITNESS,core/rank_lattice.py,Rank.LICENSED,PR-1A / PR-3,,,يتطلب حكم بوابة انتقال — مُشهَد عبر APPROVED verdicts في المتن
RANK_STRONG,RANK_LEVEL,Rank.STRONG,رتبة: قوي,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,RANK_WITNESS,core/rank_lattice.py,Rank.STRONG,PR-1A / PR-3,,,GATE_RANK_CEILING — الحد الأقصى للبوابة العامة
RANK_CERTIFICATE,RANK_LEVEL,Rank.CERTIFICATE,رتبة: شهادة,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,RANK_WITNESS,core/rank_lattice.py,Rank.CERTIFICATE,PR-1A / PR-3,,,قمة الشبكة — تتطلب CertificationGate (غير مُشهَدة)
RESIDUAL_BLOCKING,RESIDUAL_POLICY,ResidualKind.BLOCKING,بقية: مانعة,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,RESIDUAL_POLICY_PATH_WITNESS,core/residual_policy.py,ResidualKind.BLOCKING,PR-3,ResidualEvaluation,BLOCKING_RESIDUAL_PRESENT,سقف الرتبة = ZERO — يُوجب Γ BLOCKED — غير مُشهَد في المتن
RESIDUAL_DEFERRABLE,RESIDUAL_POLICY,ResidualKind.DEFERRABLE,بقية: قابلة للتأجيل,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,RESIDUAL_POLICY_PATH_WITNESS,core/residual_policy.py,ResidualKind.DEFERRABLE,PR-3,ResidualEvaluation,,سقف الرتبة = HYPOTHESIS — إغلاق مُثقَّب — مُشهَد ضمنيًا في PERFORATED_CLOSED
RESIDUAL_NON_BLOCKING,RESIDUAL_POLICY,ResidualKind.NON_BLOCKING,بقية: غير مانعة,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,RESIDUAL_POLICY_PATH_WITNESS,core/residual_policy.py,ResidualKind.NON_BLOCKING,PR-3,ResidualEvaluation,,سقف الرتبة = CERTIFICATE — إغلاق مُثقَّب — مُشهَد ضمنيًا في PERFORATED_CLOSED
RESIDUAL_EXPLANATORY,RESIDUAL_POLICY,ResidualKind.EXPLANATORY,بقية: شرحية,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,RESIDUAL_POLICY_PATH_WITNESS,core/residual_policy.py,ResidualKind.EXPLANATORY,PR-3,ResidualEvaluation,,سقف الرتبة = CERTIFICATE — إغلاق مُثقَّب
RESIDUAL_HIDDEN,RESIDUAL_POLICY,ResidualKind.HIDDEN_FORBIDDEN,بقية: مخفية محظورة,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,RESIDUAL_POLICY_PATH_WITNESS,core/residual_policy.py,ResidualKind.HIDDEN_FORBIDDEN,PR-3,ResidualEvaluation,HIDDEN_RESIDUAL,سقف الرتبة = ZERO — يُوجب Γ INVALID — غير مُشهَد في المتن
LGE_C1,LGE_RUNTIME_STAGE,LGE-C1 Surface Token Runtime,C1 — بيئة تشغيل رمز السطح,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,LGE_INVOCATION_COVERAGE,lge/c1_surface_token_runtime.py,emit_lge_c1_surface_token,LGE-C1,LgeC1SurfaceToken,OUTPUT_EXCEEDS_LAYER,9 أسر للرمز السطحي — سقف CANDIDATE — لا يُستخدم في جسر Hokom الحالي
LGE_C2,LGE_RUNTIME_STAGE,LGE-C2 Sentence Slot Runtime,C2 — بيئة تشغيل خانة الجملة,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,LGE_INVOCATION_COVERAGE,lge/c2_sentence_slot_runtime.py,prove_lge_c2_sentence_slot,LGE-C2,LgeC2SentenceSlot,GATE_REQUIRED,3 أسر — يتطلب C1 — لا يُستخدم في جسر Hokom الحالي
LGE_C3,LGE_RUNTIME_STAGE,LGE-C3 Relation Slot Runtime,C3 — بيئة تشغيل خانة العلاقة,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,LGE_INVOCATION_COVERAGE,lge/c3_relation_slot_runtime.py,prove_lge_c3_relation_slot,LGE-C3,LgeC3RelationSlot,GATE_REQUIRED,3 أسر — يتطلب C2 — لا يُستخدم في جسر Hokom الحالي
LGE_C4,LGE_RUNTIME_STAGE,LGE-C4 Inflection Mark Runtime,C4 — بيئة تشغيل علامة الإعراب,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,LGE_INVOCATION_COVERAGE,lge/c4_inflection_mark_runtime.py,prove_lge_c4_inflection_surface,LGE-C4,LgeC4InflectionSurface,GATE_REQUIRED,2 أسرة — يتطلب C3 — لا يُستخدم في جسر Hokom الحالي
LGE_C5,LGE_RUNTIME_STAGE,LGE-C5 Style Slot Runtime,C5 — بيئة تشغيل خانة الأسلوب,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,LGE_INVOCATION_COVERAGE,lge/c5_style_slot_runtime.py,prove_lge_c5_style_surface,LGE-C5,LgeC5StyleSurface,GATE_REQUIRED,2 أسرة — يتطلب C4 — لا يُستخدم في جسر Hokom الحالي
GATE_STEP_1,ORDERED_DECISION_STEP,TransitionGate Step 1 — Γ consultation,خطوة البوابة 1 — استشارة Γ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRANSITION_GATE_BRANCH_COVERAGE,core/transition_gate.py,TransitionGate.decide,PR-4,TransitionVerdict,_GAMMA_REFUSAL_TO_TRANSITION map,Γ تُشغَّل أولًا قبل أي بوابة. OPEN→DEFERRED مُشهَد (7 رموز). BLOCKED/INVALID/FORBIDDEN_LEAP→ مقابلاتها غير مُشهَدة.
GATE_STEP_2,ORDERED_DECISION_STEP,TransitionGate Step 2 — Forbidden Straight-Line Registry,خطوة البوابة 2 — سجل الخطوط المستقيمة المحظورة,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRANSITION_GATE_BRANCH_COVERAGE,core/transition_gate.py,TransitionGate.decide,PR-5,TransitionVerdict,FORBIDDEN_STRAIGHT_LINE,"CANONICAL_REGISTRY.find(source,target) — لا FORBIDDEN_LEAP مُشهَد في المتن الحالي."
GATE_STEP_3,ORDERED_DECISION_STEP,TransitionGate Step 3 — Ungated rank claim,خطوة البوابة 3 — ادعاء رتبة غير مُبوَّبة,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRANSITION_GATE_BRANCH_COVERAGE,core/transition_gate.py,TransitionGate.decide,PR-4,TransitionVerdict,RANK_PROMOTION_WITHOUT_GATE,رتبة > HYPOTHESIS من مصدر غير TRANSITION_VERDICT → REJECTED. لا شاهد في المتن.
GATE_STEP_4,ORDERED_DECISION_STEP,TransitionGate Step 4 — Evidence presence,خطوة البوابة 4 — حضور الدليل,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRANSITION_GATE_BRANCH_COVERAGE,core/transition_gate.py,TransitionGate.decide,PR-4,TransitionVerdict,GATE_REQUIRED,evidence.sources فارغ → DEFERRED + GATE_REQUIRED. مُشهَد: ~48 رمزًا. الفرع الإيجابي (بوجود دليل) مُشهَد: 73 رمزًا.
GATE_STEP_5,ORDERED_DECISION_STEP,TransitionGate Step 5 — Rank meet §8,خطوة البوابة 5 — جلسة الرتبة §8,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRANSITION_GATE_BRANCH_COVERAGE,core/transition_gate.py,TransitionGate.decide,PR-4,granted_rank: Rank,,"meet(evidence_rank, identity_rank, gate_rank, residual_ceiling) — مُشهَد لـ 73 رمزًا (APPROVED). الرتبة الممنوحة الدقيقة غير مُحدَّدة من CSV الحالي."
GATE_STEP_6,ORDERED_DECISION_STEP,TransitionGate Step 6 — Approval,خطوة البوابة 6 — الموافقة,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRANSITION_GATE_BRANCH_COVERAGE,core/transition_gate.py,TransitionGate.decide,PR-4,TransitionVerdict(state=APPROVED),,APPROVED مع granted_rank. مُشهَد: 73 رمزًا.
